folder name,title,slug,description,status,visibility,started,ended,categories,tags,featured,order,draft,thumb,gallery,video,ogImage,links.demo,downloads,role,collaborators,metrics,demoAuth,related
7csc-amendment-handbook,7CSC Amendment Handbook,,"Authored as a comprehensive procedural guide for the Seventh College Student Council, this handbook standardized the amendment, formatting, and archiving processes for all governing documents. I developed and published this as Speaker to resolve years of inconsistency in how constitutional and bylaw changes were implemented. The handbook details precise formatting hierarchies, amendment integration procedures, and archival best practices—ensuring that all ratified changes are incorporated consistently and preserved in perpetuity. This document remains the foundation for 7CSC’s amendment management system and is still referenced by Council officers today.",shipped,public,2022-12-01,2022-12-01,Procedural Design & Documentation; Legislative Reform & Governance,"handbook, student-gov, amendments, governance, process-design, author, speaker, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Handbook (PDF)"", ""path"": ""/portfolio/archive/7CSC/7CSC Amendment Handbook.pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""7csc-legislation-series""]"
7csc-elevator-charter,Charter of the Elevator Special Committee for Advocacy & Petition,,"I co-authored the Charter establishing the Elevator Special Committee for Advocacy & Petition, an ad hoc body formed under the Seventh College Student Council to address persistent elevator failures that affected accessibility and safety for residents. Serving as a committee member, I focused on the digital and data infrastructure underpinning the initiative—designing QR reporting systems and conducting statistical analyses of maintenance response times. My findings demonstrated that the issue was not repair availability but delayed reporting between incidents and response, a gap that informed direct discussions with UC San Diego’s Housing, Dining, and Hospitality (HDH) department. Following our presentation, HDH acknowledged the procedural lapse and began improving their elevator issue reporting protocols. The initiative exemplified how targeted data analysis and digital tools can drive tangible institutional change within university systems.",shipped,public,2022-11-01,2022-11-01,Advocacy & Accessibility Policy; Legislative Reform & Governance,"charter, student-gov, accessibility, advocacy, data-analysis, qr-systems, committee-member, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Charter (PDF)"", ""path"": ""/portfolio/archive/7CSC/Charter of the Elevator Special Committee for Advocacy & Petition.pdf""}]",Committee Member (Data & Digital Infrastructure Lead),,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""7csc-legislation-series""]"
7csc-formatting-inquiry,Constitution & Bylaw Formatting Inquiry,,"Submitted to the 7CSC Judicial Board, this inquiry identified multiple inconsistencies between the formatting of the Council’s Constitution and Bylaws and requested a formal ruling to authorize corrective action without additional legislation. I prepared the case to establish the Rules Committee’s procedural authority to align structural formatting across governing documents. The inquiry catalyzed later legislative reforms—most notably the adoption of the Amendment Handbook—and helped define the scope of technical versus interpretive authority within the Council’s judicial and rules framework.",shipped,public,2022-10-01,2022-10-01,Procedural Design & Documentation,"inquiry, student-gov, constitution, bylaws, governance, rules-committee, author, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Inquiry (PDF)"", ""path"": ""/portfolio/archive/7CSC/Constitution & Bylaw Formatting Inquiry.pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""7csc-legislation-series""]"
7csc-constitutional-process-inquiry,Constitutional Amendment Process Inquiry,,"As Speaker, I authored this judicial inquiry to resolve a foundational constitutional ambiguity: whether the Seventh College Student Council possessed the authority to amend its own Constitution. The document analyzed competing procedural interpretations and cited constitutional and bylaw provisions to construct a defensible amendment pathway through the Rules Committee. This case established the procedural basis that later informed the creation of a formal amendments clause (Legislation 5B) and directly influenced the Council’s modern constitutional process. It remains a key precedent in 7CSC’s internal legal history.",shipped,public,2022-10-01,2022-10-01,Procedural Design & Documentation; Legislative Reform & Governance,"inquiry, student-gov, constitution, amendments-process, governance, author, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Inquiry (PDF)"", ""path"": ""/portfolio/archive/7CSC/Constitutional Amendment Process Inquiry.pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""7csc-legislation-series""]"
bosa-reorganization-proposal,Website Adapted Reorganization Proposal,,"As a member of the Woodside High School Board of Student Affairs, I authored this proposal to reorganize and modernize the school’s Student Activities webpage. The project analyzed the existing web architecture, identified information bottlenecks between student government and activity pages, and introduced a dual-page system separating “Student Activities” from “Student Government.” I also designed a framework for embedded Google Docs integration that enabled remote updates without administrator intervention—a solution conceived during the early COVID-19 lockdowns. The proposal was unanimously approved by the Student Activities Directors and the Board of Student Affairs, establishing the structural basis for all subsequent online governance materials at Woodside.",shipped,public,2020-06-01,2020-06-01,Organizational Development & Policy; Web Development & Information Systems,"proposal, k12, information-architecture, web-structure, process-design, author, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Proposal (PDF)"", ""path"": ""/portfolio/archive/BOSA/200625 Website Adapted Reorganization Proposal.pdf""}]",Author & Project Lead,,"[{""key"": ""Status"", ""value"": ""Implemented & in effect""}]",,"[""bosa-digital-series""]"
bosa-webpage-project-report,Student Government Webpage Project Report,,"Building on the approved reorganization proposal, I led the development and deployment of the Woodside High School Student Government webpage. Using custom HTML and jQuery scripts, I implemented an embedded-document system allowing Board of Student Affairs (BOSA) members to edit live content directly through Google Drive without CMS credentials. The project introduced a dynamic tabbed layout for officer bios, a Leadership Public Folder for archival transparency, and a script-based fix for hyperlink security errors within iframes. Upon launch, the webpage became the central hub for student-government communication, enabling secure, real-time updates by authorized representatives and setting a precedent for digital accessibility across district-hosted school sites.",shipped,public,2020-08-01,2020-08-01,Web Development & Information Systems,"report, k12, web-dev, jquery, embedded-docs, google-drive, developer, launch, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Report (PDF)"", ""path"": ""/portfolio/archive/BOSA/200803 Student Government Webpage Project Report.pdf""}]",Lead Developer & Report Author,,"[{""key"": ""Status"", ""value"": ""Implemented & in effect""}]",,"[""bosa-digital-series""]"
bosa-leadership-connections-expansion,Leadership Connections Committee Expansion & Guidelines Proposal,,"I authored this proposal to expand and formalize the responsibilities of the Leadership Connections Committee within the Woodside High School Leadership Program. The document redefined the committee’s role from a limited communications group into a central coordination body managing resources and inter-committee collaboration. My framework introduced monthly cross-section reporting, structured task routing, and communication protocols to reduce administrative bottlenecks during distance learning. Approved by the Board of Student Affairs and Student Activities Directors, the policy institutionalized a sustainable reporting pipeline that strengthened transparency and operational efficiency across all program sections.",shipped,public,2020-09-01,2020-09-01,Organizational Development & Policy,"proposal, k12, program-design, comms, process-design, author, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Proposal (PDF)"", ""path"": ""/portfolio/archive/BOSA/200915 Leadership Connections Committee Expansion & Guidelines Proposal.pdf""}]",Author & Policy Lead,,"[{""key"": ""Status"", ""value"": ""Implemented & in effect""}]",,"[""bosa-digital-series""]"
bosa-handbook,The BOSA Handbook,,"As President of the Board of Student Affairs, I authored and published The Woodside BOSA Handbook—a 13-chapter administrative guide that codified operational procedures, documentation standards, and continuity practices for future student-government teams. The handbook consolidated protocols for meetings, constitutional updates, digital record-keeping, and event planning, establishing a long-term knowledge base for the Leadership Program. It served as both a governance manual and digital-infrastructure reference, linking Google Drive directories, webpage update systems, and archival workflows I previously developed. Today, the handbook remains the foundation for training incoming BOSA officers and preserving institutional memory within Woodside High School’s student leadership ecosystem.",shipped,public,2021-07-01,2021-07-01,Administrative Frameworks & Handbooks; Organizational Development & Policy,"handbook, k12, governance, continuity, documentation, author, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Handbook (PDF)"", ""path"": ""/portfolio/archive/BOSA/The BOSA Handbook.pdf""}]",Author & President of the Board of Student Affairs,,"[{""key"": ""Status"", ""value"": ""Implemented & in effect""}]",,"[""bosa-digital-series""]"
excel-beginner-to-advanced,Microsoft Excel – Excel from Beginner to Advanced,,"Completed a 21-hour comprehensive Excel certification course on Udemy taught by Kyle Pew and Office Newb. The course covered advanced data manipulation, visualization, and automation techniques, including pivot tables, conditional logic, lookup functions, and macro creation using VBA. This certification strengthened my technical fluency in Excel for data analysis, modeling, and workflow optimization across professional and academic projects.",shipped,public,2023-01-01,2023-01-01,Professional Certification; Data Infrastructure & Integration,"certificate, excel, spreadsheets, data-analysis, pivot-tables, vba, skills",FALSE,,FALSE,,,,,https://www.udemy.com/certificate/UC-53f62925-3da7-4eaa-89e5-5bf9c050d5fd/,"[{""label"": ""Certificate (PNG)"", ""path"": ""/portfolio/archive/Certifications/Microsoft Excel – Excel from Beginner to Advanced.png""}]",Student & Certificate Holder,"[{""name"": ""Kyle Pew""},{""name"": ""Office Newb""}]","[{""key"": ""Course Length"", ""value"": ""21 hours""}]",,"[""excel-certification-series""]"
vc-lab-cohort-15,VC Lab Cohort 15 – Certificate of Completion,,"Completed the VC Lab Cohort 15 accelerator program with Los Altos Capital under the Decile Group, an intensive global initiative designed to train and certify emerging venture capital fund managers. Through this program, I collaborated on the development of a $10MM early-stage investment thesis focused on artificial intelligence, extended reality, and blockchain technologies. The certification recognized my work in fund strategy design, LP communications, and deal pipeline development alongside Los Altos Capital’s founding partners. This experience reinforced my understanding of venture fund formation, due diligence workflows, and long-term portfolio construction strategies.",shipped,public,2023-08-01,2024-02-01,Professional Certification; Venture Capital & Finance,"certificate, venture-capital, fund-formation, thesis, lp-relations, due-diligence, operations",FALSE,,FALSE,,,,,https://vclab.com,"[{""label"": ""Certificate (JPG)"", ""path"": ""/portfolio/archive/Certifications/VC Lab Certificate of Completion.jpg""}]","VC Lab Principal, Los Altos Capital","[{""name"": ""Anil Kaya""},{""name"": ""Myrto Lalacos""}]","[{""key"": ""Fund Thesis"", ""value"": ""$10MM Seed-stage AI, XR, & Blockchain""}]",,"[""vc-lab-program""]"
freshman-transition-restructuring-act,Freshman Transition Program Restructuring Act,,"As Program Chief Administrator for Woodside High School’s Freshman Transition Program, I authored and implemented this comprehensive restructuring initiative to address organizational inefficiencies and modernize digital communications. The legislation redesigned the entire leadership hierarchy—establishing defined roles for Chief Leaders, Section Leaders, and Head Period Leaders—and introduced a multi-tiered training model to improve accountability and operational clarity across seven class periods. I also led the program’s digital transition from Remind to Band, a more responsive communication platform, after analyzing engagement and notification data that highlighted severe inefficiencies in existing systems. Approved by the Program Chief Executive and ratified by the Process Group, this act served as the framework for future training operations and remains one of the most comprehensive structural reforms in the program’s history.",shipped,public,2020-04-01,2020-04-01,Leadership Program Management; Organizational Development & Policy,"policy, k12, program-design, org-structure, comms-platforms, author, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Act (PDF)"", ""path"": ""/portfolio/archive/Freshman Transition/2020 Freshman Transition Program Restructuring Act.pdf""}]",Author & Program Chief Administrator,"[{""name"": ""Elaine Dessus""}]","[{""key"": ""Scope"", ""value"": ""Program-wide structural reform across 7 class periods""}]",,"[""freshman-transition-series""]"
mtac-certificate-of-merit,Music Teachers' Association of California Award List,,"As a Classical Pianist under instructor Marta Schermerhorn, I earned every available award in the Music Teachers’ Association of California’s Certificate of Merit (CM) program each year I was eligible—spanning twelve consecutive years of study. Across all ten performance and theory levels, culminating in the Advanced and Senior Award designations, I received Branch Honors, State Honors, and Convention recognition annually. These awards represent the highest distinctions attainable within the MTAC evaluation system, encompassing adjudicated proficiency in technique, sight-reading, ear training, and theoretical understanding. This consistent record of full-award achievement reflects both exceptional musical precision and long-term discipline that have continued to influence my creative, analytical, and professional pursuits.",shipped,public,2012-01-01,2021-03-01,Music Performance & Education; Professional Certification,"certificate, music, piano, performance, theory, awards, advanced, senior-award",FALSE,,FALSE,,,,,https://www.mtac.org/programs/performance/certificate-of-merit/,"[{""label"": ""Official Award List (PDF)"", ""path"": ""/portfolio/archive/MTAC/Ethan Lau - Official MTAC Award List.pdf""}]",Classical Pianist,"[{""name"": ""Marta Schermerhorn""}]","[{""key"": ""Years Active"", ""value"": ""12""}, {""key"": ""Award Distinctions"", ""value"": ""Branch Honors, State Honors, Convention Recognition (All Years)""}]",,"[""mtac-certification-series""]"
alumni-google-sheets-toolkit,Automation & Data Tools Suite,,"To streamline alumni engagement operations for UC San Diego’s Alumni Department—and to empower future student workers who aren’t code-heavy—I built a reusable toolkit of Google Sheets workflows powered by Google Apps Script custom functions. The suite replaces brittle manual processes with auditable, spreadsheet-native utilities that scale across teams. 

Key capabilities include:
- Record hygiene & merge logic: DUPE_DETECTOR and IMPUTATION_UNIQUE flag adjacent duplicates and impute sparse rows.
- Cross-sheet assembly: GET_SHEET and COLUMN_STACK fetch standardized ranges and stack named columns.
- Flexible lookups: MULTI_SEARCH and HASH_MAP_LOOKUP enable many-to-many mapping beyond VLOOKUP/XLOOKUP.
- Similarity & cleaning: CHAR_SIM, MOST_SIMILAR, and F_FILL provide fuzzy matching and forward-fill capabilities.
- Analytics utilities: CUMLATIVE_SUM, PARTITION_GROUPS, and JOIN_UNIQUE extend Sheets for grouped aggregation and cohort balancing. 

Together, these tools transformed data prep and reporting into one-cell formulas—cutting turnaround time and enabling non-technical staff to maintain automations without writing code.",shipped,public,2023-06-01,2025-03-01,Workflow Automation & Apps Script; Data Infrastructure & Integration,"toolkit, alumni-engagement, automation, apps-script, google-sheets, deduplication, imputation, fuzzy-matching, process-design",FALSE,,FALSE,,,,,https://docs.google.com/document/d/1p45FgE2DMICaZZH4Tg9ke-XjjPfVAAJSHYt1smdQm7Y/edit,,Author & Workflow Engineer,"[{""name"": ""UC San Diego Alumni Engagement Department""}]","[{""key"": ""Custom Functions Built"", ""value"": ""10+""}, {""key"": ""Operational Impact"", ""value"": ""Cut manual data-prep time by ≈70%""}, {""key"": ""Adopted By"", ""value"": ""Future student analysts & department staff""}]",,"[""esp-database-matching""]"
